code,language,quality_label,severity_score,repo_stars
"def _sync_upload_vision_to_gallery(file_info: Dict[str, Any], owner: Optional[str], text: str) -> None:
    file_hash = (file_info or {}).get(""hash"")
    if not file_hash or not text:
        return
    try:
        from core.database import GalleryImage, SessionLocal
        db = SessionLocal()
        try:
            q = db.query(GalleryImage).filter(
                GalleryImage.file_hash == file_hash,
                GalleryImage.is_active == True,  # noqa: E712
            )
            if owner:
                q = q.filter(GalleryImage.owner == owner)
            img = q.first()
            if not img:
                return
            img.caption = text.strip()
            db.commit()
        except Exception:
            db.rollback()
            raise
        finally:
            db.close()
    except Exception as e:
        logger.warning(""Failed to sync upload vision text to gallery: %s"", e)",python,0,0.07,85267
"def follow_him(s, target):
    print('>> ******\n>> He followed ...')
    resp = s.get(GITHUB_API_PROXY + '/users/%s/following' % target)
    following_list = [following['url'].split('/')[-1] for following in resp.json()]
    for user in following_list:
        if USERNAME:
            s.put(GITHUB_API_PROXY + '/user/following/%s' % user)
        print(user)
    if USERNAME:
        print('>> following done\n')",python,2,0.96,4
" divisores
        for(int x = 1; x < a; x++){
            if((a%x)==0){
                suma = suma + x;
            }
        }",java,3,0.72,4
"    private static boolean estaEnArray(int[] array, int num){
        boolean existe = false;
        for(int n : array){
            if(n==num){
                existe = true;
            }
        }
        return existe;
    }",java,2,0.87,4
"def apt_install(*packages):
    """"""Install packages with apt.

    Parameters
    ----------
    *packages : Iterable[str]
        The packages to install.
    """"""
    sudo('apt install -y %s' % ' '.join(packages))",python,3,0.72,4
"var navigation = function() {
    this.controller = function() {
        this.logout = function() {
            session.setKey(null);
            session.setName(null);
            m.route(""/login"")
        }
    }
    this.view = function(ctrl) {
        return [
            m.if(session.key,[
                m(""div[class='column column-50'][id='navbar']"",[
                    m(""a"", {href: '/todo',  text:""Todos"", config: m.route}),
                    m(""a"", {href: '/scaffold',  text:""Admin"", config: m.route}),
                    m(""a"", {href: '/logout', onclick: ctrl.logout, text:""Log Out"", config: m.route})
                ]),
                m(""div[class='column column-50']"", m(""h6"", ""Welcome back "" + session.name))
            ])
        ];

    }
}",javascript,3,0.67,4
"def extractMelody(audioSamples, wSize, hSize):
    fs = 44100
    vTol = 1.4


    # extract f0 using ESSENTIA
    input = essentia.array(audioSamples)
    pitchTracker = PredominantPitchMelodia(frameSize = wSize, hopSize = hSize, sampleRate = fs,
        voicingTolerance = vTol, voiceVibrato = False, filterIterations=10,
        peakDistributionThreshold=0.9, guessUnvoiced=True)

#     pitchTracker = PredominantMelody(frameSize = wSize, hopSize = hSize, sampleRate = fs,
#         voicingTolerance = vTol, voiceVibrato = False, filterIterations=10,
#         peakDistributionThreshold=0.9, guessUnvoiced=True)

    f0, pitchConf = pitchTracker(input)

    timestamps = getTimeStamps(audioSamples, f0)


    f0 = mir_eval.multipitch.frequencies_to_midi(f0)
    return timestamps, np.array(f0)",python,2,0.73,4
"function getSources(type) {
  return _.compact(_.concat(
    _.get(sources, type),
    getIgnores(type)
  ))
}",javascript,2,0.76,4
"def api_only():
    from fastapi import FastAPI
    from modules.shared_cmd_options import cmd_opts

    initialize.initialize()

    app = FastAPI()
    initialize_util.setup_middleware(app)
    api = create_api(app)

    from modules import script_callbacks
    script_callbacks.before_ui_callback()
    script_callbacks.app_started_callback(None, app)

    print(f""Startup time: {startup_timer.summary()}."")
    api.launch(
        server_name=initialize_util.gradio_server_name(),
        port=cmd_opts.port if cmd_opts.port else 7861,
        root_path=f""/{cmd_opts.subpath}"" if cmd_opts.subpath else """"
    )",python,0,0.02,164507
"var validateUser = function(){
	var uname = document.getElementById('uname');
	if(uname.value == undefined || uname.value == null || uname.value == """")
	{
		uname.style.borderColor=""red"";
	}
	else
	{
		uname.style.borderColor=""green"";
	}


}",javascript,2,0.74,4
"def text_iterator(max_chars=1_000_000_000, doc_cap=10_000):
    """"""Yield documents from training split (all shards except pinned val shard).""""""
    parquet_paths = [p for p in list_parquet_files() if not p.endswith(VAL_FILENAME)]
    nchars = 0
    for filepath in parquet_paths:
        pf = pq.ParquetFile(filepath)
        for rg_idx in range(pf.num_row_groups):
            rg = pf.read_row_group(rg_idx)
            for text in rg.column(""text"").to_pylist():
                doc = text[:doc_cap] if len(text) > doc_cap else text
                nchars += len(doc)
                yield doc
                if nchars >= max_chars:
                    return",python,0,0.26,93757
"def eval_all(iKala_URI, filenames_selected=None):
    wavfiles_URI = iKala_URI + '/Wavfile/'
    _filenames = getWavFiles(filenames_selected, wavfiles_URI)

    NSDR_total = 0
    SIR_total = 0
    SAR_total = 0

    for filename in _filenames:
        filename = basename(filename)
        [NSDR, SIR, SAR ] = eval_svs_main_(filename)
        NSDR_total += NSDR
        SIR_total += SIR
        SAR_total += SAR",python,3,0.92,4
"    def run(self):
        if SUPPORTED_PYTHON_VERSIONS[0] > PYTHON_MINOR_VERSION:
            print(
                f""Table updated only when running 3.{SUPPORTED_PYTHON_VERSIONS[0]}.x, detected version is {sys.version}.""
            )
            return

        entries = ""\n"".join([f'    ""{k}"": ""{v}"",' for k, v in deps.items()])
        content = [
            ""# THIS FILE HAS BEEN AUTOGENERATED. To update:"",
            ""# 1. modify the `_deps` dict in setup.py"",
            ""# 2. run `make fix-repo``"",
            ""deps = {"",
            entries,
            ""}"",
            """",
        ]
        target = ""src/transformers/dependency_versions_table.py""
        with open(target, ""w"", encoding=""utf-8"", newline=""\n"") as f:
            f.write(""\n"".join(content))",python,1,0.04,164028
"function standardizedHttpError (error) {
  const resp = error.response || {}
  const { status, text } = resp
  throw standardizedError('http', { status, message: text || 'server internal error' })
}",javascript,3,0.51,4
"def decode(img):
    if not img:
        return None
    qr = qrtools.QR()
    if qr.decode(img):
        return qr.data
    else:
        raise ValueError(""Failed to decode data from '%s'"" % img)",python,2,0.53,4
"def read_star():
    db = sqlite3.connect(get_project_settings()['DATABASE_POSITION'])
    db.row_factory = dict_factory
    cursor = db.cursor()
    cursor.execute('select * from pixiv_item where star is not null ORDER BY -star')
    global star_array, unstar
    star_array = cursor.fetchall()",python,3,0.94,4
"function handleError (err) {
    if (err) {
        if (err.code === 'PROTOCOL_CONNECTION_LOST') {
            connect();
        } else {
            console.error(err.stack || err);
        }
    }
}",javascript,3,0.82,4
"def format_token_count_compact(*args, **kwargs):
    value = int(args[0] if args else kwargs.get(""value"", 0))
    abs_value = abs(value)
    if abs_value < 1_000:
        return str(value)

    sign = ""-"" if value < 0 else """"
    units = ((1_000_000_000, ""B""), (1_000_000, ""M""), (1_000, ""K""))
    for threshold, suffix in units:
        if abs_value >= threshold:
            scaled = abs_value / threshold
            if scaled < 10:
                text = f""{scaled:.2f}""
            elif scaled < 100:
                text = f""{scaled:.1f}""
            else:
                text = f""{scaled:.0f}""
            if ""."" in text:
                text = text.rstrip(""0"").rstrip(""."")
            return f""{sign}{text}{suffix}""

    return f""{value:,}""",python,0,0.21,229692
"def show_message(subj, body, icon='audio-speakers', timeout=3000,
                 dump_id_file='/tmp/pymocp.id'):
    wn = None
    try:
        wn = pickle.load(open(dump_id_file, ""rb""))
    except:
        wn = notify2.Notification('')

    wn.set_timeout(timeout)
    wn.update(subj, body, icon)
    wn.show()
    pickle.dump(wn, open(dump_id_file, ""wb""))",python,3,0.8,4
"def test_llm_job_payload_model():
    """"""Test that LlmJobPayload includes webhook_config field""""""
    print(""="" * 60)
    print(""TEST 1: LlmJobPayload Model"")
    print(""="" * 60)

    try:
        from job import LlmJobPayload
        from schemas import WebhookConfig
        from pydantic import ValidationError

        # Test with webhook_config
        payload_dict = {
            ""url"": ""https://example.com"",
            ""q"": ""Extract main content"",
            ""schema"": None,
            ""cache"": False,
            ""provider"": None,
            ""webhook_config"": {
                ""webhook_url"": ""https://myapp.com/webhook"",
                ""webhook_data_in_payload"": True,
                ""webhook_headers"": {""X-Secret"": ""token""}
            }
        }

        payload = LlmJobPayload(**payload_dict)

        print(f""✅ LlmJobPayload accepts webhook_config"")
        print(f""   - URL: {payload.url}"")
        print(f""   - Query: {payload.q}"")
        print(f""   - Webhook URL: {payload.webhook_config.webhook_url}"")
        print(f""   - Data in payload: {payload.webhook_config.webhook_data_in_payload}"")

        # Test without webhook_config (should be optional)
        minimal_payload = {
            ""url"": ""https://example.com"",
            ""q"": ""Extract content""
        }

        payload2 = LlmJobPayload(**minimal_payload)
        assert payload2.webhook_config is None, ""webhook_config should be optional""
        print(f""✅ LlmJobPayload works without webhook_config (optional)"")

        return True
    except Exception as e:
        print(f""❌ Failed: {e}"")
        import traceback
        traceback.print_exc()
        return False",python,1,0.1,77961
"    def construct(self):
        grid = Tex(R""\pi"").get_grid(10, 10, height=4)
        self.add(grid)

        # You can animate the application of mobject methods with the
        # "".animate"" syntax:
        self.play(grid.animate.shift(LEFT))

        # Both of those will interpolate between the mobject's initial
        # state and whatever happens when you apply that method.
        # For this example, calling grid.shift(LEFT) would shift the
        # grid one unit to the left, but both of the previous calls to
        # ""self.play"" animate that motion.

        # The same applies for any method, including those setting colors.
        self.play(grid.animate.set_color(YELLOW))
        self.wait()
        self.play(grid.animate.set_submobject_colors_by_gradient(BLUE, GREEN))
        self.wait()
        self.play(grid.animate.set_height(TAU - MED_SMALL_BUFF))
        self.wait()

        # The method Mobject.apply_complex_function lets you apply arbitrary
        # complex functions, treating the points defining the mobject as
        # complex numbers.
        self.play(grid.animate.apply_complex_function(np.exp), run_time=5)
        self.wait()

        # Even more generally, you could apply Mobject.apply_function,
        # which takes in functions form R^3 to R^3
        self.play(
            grid.animate.apply_function(
                lambda p: [
                    p[0] + 0.5 * math.sin(p[1]),
                    p[1] + 0.5 * math.sin(p[0]),
                    p[2]
                ]
            ),
            run_time=5,
        )
        self.wait()",python,1,0.04,90614
"function render(options, callback) {
  var sync = true;

  debug('render ""%s""', this.path);

  // render, normalizing sync callbacks
  this.engine(this.path, options, function onRender() {
    if (!sync) {
      return callback.apply(this, arguments);
    }

    // copy arguments
    var args = new Array(arguments.length);
    var cntx = this;

    for (var i = 0; i < arguments.length; i++) {
      args[i] = arguments[i];
    }

    // force callback to be async
    return process.nextTick(function renderTick() {
      return callback.apply(cntx, args);
    });
  });

  sync = false;
}",javascript,1,0.26,69353
"def _non_negative_float(value: str) -> float:
    parsed = float(value)
    if not math.isfinite(parsed) or parsed < 0:
        raise argparse.ArgumentTypeError(f""value must be a finite number >= 0, got {value!r}"")
    return parsed",python,0,0.2,102853
"def main():
    api = clockwork.API(open(""/var/ass/api.key"", 'r').readline())
    parser = argparse.ArgumentParser()
    parser.add_argument(""message"", help=""the message body to be sent via text"")
    parser.add_argument(""sender"", help=""The name or number the message should be sent from"")

    args = parser.parse_args()

    #Check the balance and check how many more messages we can send to all contacts
    balance = account.check_balance(api)
    print(""$"" + balance)
    msgs = account.messages_left(api)
    print(""msgs remaining before top up "" + str(msgs))

    sms.send(api, args.sender, args.message)",python,3,0.61,4
"    private static String uneConjuntos(String uno, String dos){
        String resultado = """";
        if(uno.length()>=dos.length()){
            for(int x = 0; x < uno.length(); x++) {
                String letra = """" + uno.charAt(x);
                if (dos.contains(letra)) {
                    resultado = resultado + letra;
                }
            }
        } else {
            for(int x = 0; x < dos.length(); x++) {
                String letra = """" + dos.charAt(x);
                if (uno.contains(letra)) {
                    resultado = resultado + letra;
                }
            }
        }
        return resultado;
    }",java,2,0.86,4
"function inspectorOpen(port, host, wait) {
  if (isEnabled()) {
    throw new ERR_INSPECTOR_ALREADY_ACTIVATED();
  }
  // inspectorOpen() currently does not typecheck its arguments and adding
  // such checks would be a potentially breaking change. However, the native
  // open() function requires the port to fit into a 16-bit unsigned integer,
  // causing an integer overflow otherwise, so we at least need to prevent that.
  if (isUint32(port)) {
    validateInt32(port, 'port', 0, 65535);
  }
  if (host && !isLoopback(host)) {
    process.emitWarning(
      'Binding the inspector to a public IP with an open port is insecure, ' +
        'as it allows external hosts to connect to the inspector ' +
        'and perform a remote code execution attack. ' +
        'Documentation can be found at ' +
      'https://nodejs.org/api/cli.html#--inspecthostport',
      'SecurityWarning',
    );
  }

  open(port, host);
  if (wait)
    waitForDebugger();

  return { __proto__: null, [SymbolDispose]() { _debugEnd(); } };
}",javascript,0,0.15,118912
"function createInputPseudo( type ) {
	return function( elem ) {
		return nodeName( elem, ""input"" ) && elem.type === type;
	};
}",javascript,1,0.16,59785
"function _forkChild(fd, serializationMode) {
  // set process.send()
  const p = new Pipe(PipeConstants.IPC);
  p.open(fd);
  p.unref();
  const control = setupChannel(process, p, serializationMode);
  process.on('newListener', function onNewListener(name) {
    if (name === 'message' || name === 'disconnect') control.refCounted();
  });
  process.on('removeListener', function onRemoveListener(name) {
    if (name === 'message' || name === 'disconnect') control.unrefCounted();
  });
}",javascript,0,0.19,118912
