code,language,quality_label,severity_score,repo_stars
"def set_hermes_home_override(path: str | Path | None) -> Token:
    """"""Set a context-local Hermes home override and return its reset token.

    This is for in-process, per-task scoping.  It deliberately does not mutate
    ``os.environ`` because that is shared by every thread in the process.
    """"""
    value: str | object = _UNSET if path is None else str(path)
    return _HERMES_HOME_OVERRIDE.set(value)",python,1,0.05,229692
"def get_hermes_home_override() -> str | None:
    """"""Return the active context-local Hermes home override, if any.""""""
    override = _HERMES_HOME_OVERRIDE.get()
    if override is _UNSET or not override:
        return None
    return str(override)",python,1,0.2,229692
"def _get_platform_default_hermes_home() -> Path:
    """"""Return the platform-native default Hermes home path.""""""
    if sys.platform == ""win32"":
        local_appdata = os.environ.get(""LOCALAPPDATA"", """").strip()
        base = Path(local_appdata) if local_appdata else Path.home() / ""AppData"" / ""Local""
        return base / ""hermes""
    return Path.home() / "".hermes""",python,1,0.15,229692
"def _resolve_timezone_name() -> str:
    """"""Read the configured IANA timezone string (or empty string).

    This does file I/O when falling through to config.yaml, so callers
    should cache the result rather than calling on every ``now()``.
    """"""
    # 1. Environment variable (highest priority — set by Supervisor, etc.)
    tz_env = os.getenv(""HERMES_TIMEZONE"", """").strip()
    if tz_env:
        return tz_env

    # 2. config.yaml ``timezone`` key
    try:
        # Prefer the shared cached raw-config reader (mtime/size-keyed cache +
        # libyaml C loader) — a direct yaml.safe_load of a large config.yaml
        # costs ~100ms+ and this used to run inside the FIRST system prompt
        # build, on the time-to-first-token critical path.
        try:
            from hermes_cli.config import read_raw_config
            cfg = read_raw_config() or {}
        except Exception:
            import yaml
            config_path = get_config_path()
            if config_path.exists():
                with open(config_path, encoding=""utf-8"") as f:
                    cfg = yaml.safe_load(f) or {}
            else:
                cfg = {}
        if cfg:
            # Managed scope: an administrator can pin ``timezone`` too. Overlay
            # via the shared helper (fail-open) since this reads config.yaml directly.
            try:
                from hermes_cli import managed_scope
                cfg = managed_scope.apply_managed_overlay(cfg)
            except Exception:
                pass
            tz_cfg = cfg.get(""timezone"", """")
            if isinstance(tz_cfg, str) and tz_cfg.strip():
                return tz_cfg.strip()
    except Exception:
        pass

    return """"",python,0,0.04,229692
"def _get_zoneinfo(name: str) -> Optional[ZoneInfo]:
    """"""Validate and return a ZoneInfo, or None if invalid.""""""
    if not name:
        return None
    try:
        return ZoneInfo(name)
    except (KeyError, Exception) as exc:
        logger.warning(
            ""Invalid timezone '%s': %s. Falling back to server local time."",
            name, exc,
        )
        return None",python,0,0.06,229692
"def get_timezone() -> Optional[ZoneInfo]:
    """"""Return the user's configured ZoneInfo, or None (meaning server-local).

    Resolved once and cached. Call ``reset_cache()`` after config changes.
    """"""
    global _cached_tz, _cached_tz_name, _cache_resolved
    if not _cache_resolved:
        _cached_tz_name = _resolve_timezone_name()
        _cached_tz = _get_zoneinfo(_cached_tz_name)
        _cache_resolved = True
    return _cached_tz",python,0,0.03,229692
"def get_distribution(name: str) -> Optional[Dict[str, any]]:
    """"""
    Get a toolset distribution by name.
    
    Args:
        name (str): Name of the distribution
        
    Returns:
        Dict: Distribution definition with description and toolsets
        None: If distribution not found
    """"""
    return DISTRIBUTIONS.get(name)",python,1,0.14,229692
"def list_distributions() -> Dict[str, Dict]:
    """"""
    List all available distributions.
    
    Returns:
        Dict: All distribution definitions
    """"""
    return DISTRIBUTIONS.copy()",python,0,0.0,229692
"def sample_toolsets_from_distribution(distribution_name: str) -> List[str]:
    """"""
    Sample toolsets based on a distribution's probabilities.
    
    Each toolset in the distribution has a % chance of being included.
    This allows multiple toolsets to be active simultaneously.
    
    Args:
        distribution_name (str): Name of the distribution to sample from
        
    Returns:
        List[str]: List of sampled toolset names
        
    Raises:
        ValueError: If distribution name is not found
    """"""
    dist = get_distribution(distribution_name)
    if not dist:
        raise ValueError(f""Unknown distribution: {distribution_name}"")
    
    # Sample each toolset independently based on its probability
    selected_toolsets = []
    
    for toolset_name, probability in dist[""toolsets""].items():
        # Validate toolset exists
        if not validate_toolset(toolset_name):
            print(f""⚠️  Warning: Toolset '{toolset_name}' in distribution '{distribution_name}' is not valid"")
            continue
        
        # Roll the dice - if random value is less than probability, include this toolset
        if random.random() * 100 < probability:
            selected_toolsets.append(toolset_name)
    
    # If no toolsets were selected (can happen with low probabilities), 
    # ensure at least one toolset is selected by picking the highest probability one
    if not selected_toolsets and dist[""toolsets""]:
        # Find toolset with highest probability
        highest_prob_toolset = max(dist[""toolsets""].items(), key=lambda x: x[1])[0]
        if validate_toolset(highest_prob_toolset):
            selected_toolsets.append(highest_prob_toolset)
    
    return selected_toolsets",python,1,0.22,229692
"def format_duration_compact(*args, **kwargs):
    seconds = float(args[0] if args else kwargs.get(""seconds"", 0.0))
    if seconds < 60:
        return f""{seconds:.0f}s""
    minutes = seconds / 60
    if minutes < 60:
        return f""{minutes:.0f}m""
    hours = minutes / 60
    if hours < 24:
        remaining_min = int(minutes % 60)
        return f""{int(hours)}h {remaining_min}m"" if remaining_min else f""{int(hours)}h""
    days = hours / 24
    return f""{days:.1f}d""",python,0,0.01,229692
"def _reverse_alias_for_display(model_name: str) -> str:
    """"""Return the shortest configured alias for ``model_name``, or ``model_name``.

    Looks up both ``model_aliases:`` (dict-based, full DirectAlias entries)
    and ``model.aliases:`` (string-based, set via ``hermes config set``)
    from config.yaml. Multiple aliases pointing at the same model — the
    shortest wins, so ``opus47`` beats ``palantir-claude47``.
    """"""
    global _REVERSE_ALIAS_CACHE
    if not model_name:
        return model_name
    if _REVERSE_ALIAS_CACHE is None:
        rmap: dict[str, str] = {}
        try:
            from hermes_cli.config import load_config
            cfg = load_config() or {}
            ma = cfg.get(""model_aliases"")
            if isinstance(ma, dict):
                for alias, entry in ma.items():
                    if isinstance(entry, dict):
                        m = str(entry.get(""model"", """") or """").strip()
                        if m and (m not in rmap or len(alias) < len(rmap[m])):
                            rmap[m] = alias
            mdl = cfg.get(""model"", {}) or {}
            if isinstance(mdl, dict):
                simple = mdl.get(""aliases"")
                if isinstance(simple, dict):
                    for alias, val in simple.items():
                        if isinstance(val, str) and val.strip():
                            v = val.strip()
                            m = v.split(""/"", 1)[1] if ""/"" in v else v
                            if m and (m not in rmap or len(alias) < len(rmap[m])):
                                rmap[m] = alias
        except Exception:
            pass
        _REVERSE_ALIAS_CACHE = rmap
    return _REVERSE_ALIAS_CACHE.get(model_name, model_name)",python,0,0.27,229692
"def format_token_count_compact(*args, **kwargs):
    value = int(args[0] if args else kwargs.get(""value"", 0))
    abs_value = abs(value)
    if abs_value < 1_000:
        return str(value)

    sign = ""-"" if value < 0 else """"
    units = ((1_000_000_000, ""B""), (1_000_000, ""M""), (1_000, ""K""))
    for threshold, suffix in units:
        if abs_value >= threshold:
            scaled = abs_value / threshold
            if scaled < 10:
                text = f""{scaled:.2f}""
            elif scaled < 100:
                text = f""{scaled:.1f}""
            else:
                text = f""{scaled:.0f}""
            if ""."" in text:
                text = text.rstrip(""0"").rstrip(""."")
            return f""{sign}{text}{suffix}""

    return f""{value:,}""",python,0,0.21,229692
"def _launch_cwd_for_session(source: str) -> Optional[str]:
    """"""Working directory to stamp on a new session row, or None.

    Only local CLI sessions get a recorded cwd: the directory the process was
    launched from is meaningful for ``hermes -c`` / ``--resume`` (relaunch
    where you left off). Gateway/cron/remote-backend sessions have no stable
    host cwd to restore, so they record nothing.

    ``TERMINAL_ENV`` is set by the CLI's config bridge (``load_cli_config``);
    a non-""local"" backend (docker/ssh/modal/...) means the host cwd is
    irrelevant to the agent's tools, so we skip it there too.
    """"""
    if source != ""cli"":
        return None
    backend = (os.environ.get(""TERMINAL_ENV"") or ""local"").strip().lower()
    if backend and backend != ""local"":
        return None
    try:
        return os.getcwd()
    except OSError:
        # cwd was unlinked out from under us — nothing meaningful to record.
        return None",python,1,0.17,229692
"def _session_source_for_agent(platform: Optional[str]) -> str:
    try:
        from gateway.session_context import get_session_env

        source = get_session_env(""HERMES_SESSION_SOURCE"", """")
    except Exception:
        source = os.environ.get(""HERMES_SESSION_SOURCE"", """")
    source = str(source or """").strip()
    if source:
        return source
    return platform or ""cli""",python,0,0.06,229692
"def _is_ephemeral_scaffolding(msg: Any) -> bool:
    """"""Return True when ``msg`` is internal recovery scaffolding that must never
    be persisted to the durable transcript (SQLite session store or JSON log).""""""
    return isinstance(msg, dict) and any(
        msg.get(flag) for flag in _EPHEMERAL_SCAFFOLDING_FLAGS
    )",python,1,0.24,229692
"def create_api(app):
    from modules.api.api import Api
    from modules.call_queue import queue_lock

    api = Api(app, queue_lock)
    return api",python,0,0.2,164507
"def api_only():
    from fastapi import FastAPI
    from modules.shared_cmd_options import cmd_opts

    initialize.initialize()

    app = FastAPI()
    initialize_util.setup_middleware(app)
    api = create_api(app)

    from modules import script_callbacks
    script_callbacks.before_ui_callback()
    script_callbacks.app_started_callback(None, app)

    print(f""Startup time: {startup_timer.summary()}."")
    api.launch(
        server_name=initialize_util.gradio_server_name(),
        port=cmd_opts.port if cmd_opts.port else 7861,
        root_path=f""/{cmd_opts.subpath}"" if cmd_opts.subpath else """"
    )",python,0,0.02,164507
"def main():
    if args.dump_sysinfo:
        filename = launch_utils.dump_sysinfo()

        print(f""Sysinfo saved as {filename}. Exiting..."")

        exit(0)

    launch_utils.startup_timer.record(""initial startup"")

    with launch_utils.startup_timer.subcategory(""prepare environment""):
        if not args.skip_prepare_environment:
            prepare_environment()

    if args.test_server:
        configure_for_tests()

    start()",python,0,0.19,164507
"def _record_fallback_event(repo_id):
    """"""Append `repo_id` to this process's fallback-event file (xdist-safe, best-effort).""""""
    if not _ci_fallback_events_dir:
        return
    worker = os.environ.get(""PYTEST_XDIST_WORKER"", ""main"")
    try:
        with open(os.path.join(_ci_fallback_events_dir, f""{worker}-{os.getpid()}.log""), ""a"", encoding=""utf-8"") as fh:
            fh.write(f""{repo_id}\n"")
    except OSError:
        pass",python,1,0.1,164028
"def _collect_fallback_events():
    """"""Aggregate fallback events recorded by every process (controller + xdist workers).""""""
    events = []
    if _ci_fallback_events_dir and os.path.isdir(_ci_fallback_events_dir):
        for name in sorted(os.listdir(_ci_fallback_events_dir)):
            try:
                with open(os.path.join(_ci_fallback_events_dir, name), encoding=""utf-8"") as fh:
                    events.extend(line.strip() for line in fh if line.strip())
            except OSError:
                pass
    return events",python,1,0.23,164028
